,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.33,39.0,83,96,3.0,NZ,1595467851
1,punta arenas,-53.15,-70.92,26.6,92,57,4.7,CL,1595467742
2,marsaxlokk,35.84,14.54,77.0,64,0,6.93,MT,1595467853
3,khatanga,71.97,102.5,45.64,82,100,17.56,RU,1595467853
4,chifeng,42.27,118.96,81.23,40,0,6.02,CN,1595467854
5,shelburne,44.08,-80.2,73.0,94,75,4.7,CA,1595467824
6,cherskiy,68.75,161.3,82.42,24,98,14.34,RU,1595467857
7,busselton,-33.65,115.33,60.01,49,77,16.91,AU,1595467838
8,victoria,22.29,114.16,91.0,70,40,4.7,HK,1595467651
9,emerald,-23.53,148.17,60.8,87,90,14.99,AU,1595467814
10,port blair,11.67,92.75,84.02,69,89,3.69,IN,1595467860
11,yar-sale,66.83,70.83,50.36,70,0,9.15,RU,1595467637
12,huicheng,23.04,116.29,87.8,74,20,4.47,CN,1595467863
13,praia,14.92,-23.51,80.6,78,20,3.36,CV,1595467866
14,aksarka,66.56,67.8,54.0,64,0,4.63,RU,1595467867
15,albany,42.6,-73.97,72.0,91,100,3.65,US,1595467802
16,nampula,-15.12,39.27,56.5,98,2,5.41,MZ,1595467871
17,rikitea,-23.12,-134.97,66.63,68,100,16.46,PF,1595467871
18,tambo,-14.8,-73.92,35.73,77,31,0.49,PE,1595467873
19,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595467874
20,port alfred,-33.59,26.89,64.49,44,0,9.73,ZA,1595467579
21,ushuaia,-54.8,-68.3,39.2,51,100,13.87,AR,1595467786
22,beroroha,-21.67,45.17,57.81,70,0,5.59,MG,1595467877
23,port hedland,-20.32,118.57,75.2,25,0,17.22,AU,1595467878
24,carutapera,-1.2,-46.02,75.36,85,83,5.86,BR,1595467592
25,petropavlovsk-kamchatskiy,53.05,158.65,68.0,49,40,4.47,RU,1595467846
26,saint george,37.1,-113.58,100.4,12,1,10.29,US,1595467804
27,uige,-7.61,15.06,58.93,79,69,2.42,AO,1595467881
28,lagoa,39.05,-27.98,69.69,69,0,3.33,PT,1595467882
29,kapaa,22.08,-159.32,82.4,78,40,4.7,US,1595467883
30,avarua,-21.21,-159.78,77.0,88,9,12.75,CK,1595467605
31,bengkulu,-3.8,102.27,81.79,69,46,3.2,ID,1595467885
32,hilo,19.73,-155.09,84.2,58,40,9.17,US,1595467885
33,key largo,25.09,-80.45,78.01,88,90,9.17,US,1595467626
34,liverpool,53.41,-2.98,60.8,82,100,8.05,GB,1595467767
35,cape town,-33.93,18.42,54.0,93,0,5.82,ZA,1595467890
36,norman wells,65.28,-126.83,53.6,81,75,17.22,CA,1595467892
37,airai,-8.93,125.41,69.28,40,42,5.39,TL,1595467894
38,hithadhoo,-0.6,73.08,83.55,71,97,8.46,MV,1595467894
39,abidjan,5.31,-4.02,77.0,88,75,6.93,CI,1595467897
40,west bay,19.37,-81.42,87.8,70,20,6.93,KY,1595467898
41,barrow,71.29,-156.79,42.8,81,90,9.17,US,1595467899
42,carnarvon,-24.87,113.63,64.4,100,0,11.41,AU,1595467900
43,san policarpo,12.18,125.51,86.34,67,95,7.29,PH,1595467902
44,pakxan,18.38,103.66,83.39,73,15,2.08,LA,1595467902
45,talakan,50.32,130.37,83.03,52,67,0.43,RU,1595467903
46,sambava,-14.27,50.17,67.12,75,99,17.09,MG,1595467903
47,santiago de cao,-7.96,-79.24,60.06,89,2,11.9,PE,1595467904
48,torbay,47.67,-52.73,66.0,67,75,17.22,CA,1595467904
49,bambous virieux,-20.34,57.76,69.8,52,75,17.22,MU,1595467905
50,pevek,69.7,170.31,55.98,53,89,9.75,RU,1595467811
51,hobart,-42.88,147.33,53.01,62,20,12.75,AU,1595467717
52,arraial do cabo,-22.97,-42.03,71.2,87,0,6.93,BR,1595467905
53,vaini,-21.2,-175.2,71.6,83,75,14.99,TO,1595467905
54,chokwe,-24.53,32.98,55.89,80,0,2.93,MZ,1595467905
55,paka,4.64,103.44,80.6,88,20,3.36,MY,1595467906
56,banff,51.18,-115.57,66.99,80,25,5.01,CA,1595467906
57,lebu,-37.62,-73.65,46.6,82,56,4.52,CL,1595467906
58,tasiilaq,65.61,-37.64,37.4,93,5,3.27,GL,1595467906
59,pangnirtung,66.15,-65.71,52.57,70,100,5.08,CA,1595467906
60,mnogovershinnyy,53.94,139.92,55.13,89,100,4.59,RU,1595467906
61,nikolskoye,59.7,30.79,55.4,76,20,8.95,RU,1595467906
62,lorengau,-2.02,147.27,84.16,75,49,9.86,PG,1595467906
63,college,64.86,-147.8,64.4,52,75,4.32,US,1595467906
64,kencong,-8.28,113.37,80.33,69,39,2.24,ID,1595467906
65,xinxiang,35.31,113.87,84.31,47,88,7.78,CN,1595467906
66,mahebourg,-20.41,57.7,69.8,52,75,17.22,MU,1595467907
67,pljevlja,43.33,19.33,64.4,82,0,1.12,ME,1595467907
68,castro,-24.79,-50.01,57.7,82,100,2.73,BR,1595467907
69,upernavik,72.79,-56.15,45.63,76,0,13.4,GL,1595467907
70,esperance,-33.87,121.9,59.0,82,90,20.8,AU,1595467689
71,butaritari,3.07,172.79,83.48,76,93,15.17,KI,1595467907
72,shaowu,27.34,117.48,92.86,52,100,2.19,CN,1595467907
73,taksimo,56.34,114.88,60.42,84,100,2.19,RU,1595467907
74,the pas,53.83,-101.25,77.0,65,75,11.41,CA,1595467907
75,suoyarvi,62.08,32.35,52.97,96,100,11.52,RU,1595467907
76,gwadar,25.12,62.33,84.38,77,89,8.81,PK,1595467907
77,san vicente,-26.62,-54.13,63.77,86,96,4.0,AR,1595467907
78,mandalgovi,45.76,106.27,82.89,29,100,17.47,MN,1595467908
79,kavieng,-2.57,150.8,85.51,71,21,13.4,PG,1595467908
80,ikast,56.14,9.16,48.2,93,10,5.82,DK,1595467908
81,kapit,2.02,112.93,81.3,83,95,0.87,MY,1595467908
82,east london,-33.02,27.91,63.84,30,0,8.39,ZA,1595467908
83,cabedelo,-6.98,-34.83,73.4,83,24,6.93,BR,1595467908
84,forestville,38.85,-76.88,73.99,100,1,3.36,US,1595467909
85,bilibino,68.05,166.44,78.57,31,100,14.16,RU,1595467909
86,bandarbeyla,9.49,50.81,78.08,67,7,25.26,SO,1595467909
87,lavrentiya,65.58,-171.0,54.01,56,30,8.95,RU,1595467697
88,mogadishu,2.04,45.34,76.46,77,58,19.24,SO,1595467909
89,thompson,55.74,-97.86,77.0,57,40,2.24,CA,1595467635
90,santiago,-33.46,-70.65,46.4,75,0,5.82,CL,1595467725
91,samana,19.21,-69.34,79.27,83,82,8.23,DO,1595467909
92,georgetown,5.41,100.34,80.6,83,20,3.36,MY,1595467910
93,bredasdorp,-34.53,20.04,57.2,93,0,2.24,ZA,1595467910
94,kroya,-7.63,109.25,79.81,74,88,9.62,ID,1595467910
95,havoysund,71.0,24.66,46.4,93,75,18.34,NO,1595467910
96,panaba,21.28,-88.27,77.65,88,8,6.98,MX,1595467910
97,srednekolymsk,67.45,153.68,86.43,27,83,7.2,RU,1595467910
98,narsaq,60.92,-46.05,64.4,57,100,28.86,GL,1595467701
99,faanui,-16.48,-151.75,77.25,77,0,17.54,PF,1595467910
100,kropotkin,45.44,40.58,63.75,81,0,6.17,RU,1595467910
