,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.92,33.8,59,61,8.05,CL,1595904358
1,hithadhoo,-0.6,73.08,82.87,78,100,14.05,MV,1595904370
2,kungurtug,50.6,97.52,69.33,38,99,2.1,RU,1595904678
3,fort myers beach,26.45,-81.95,81.0,74,1,10.29,US,1595904582
4,tuktoyaktuk,69.45,-133.04,59.0,77,90,13.87,CA,1595904375
5,ossora,59.24,163.07,66.51,62,2,6.64,RU,1595904681
6,saint stephen,50.33,-4.9,57.2,93,34,16.11,GB,1595904681
7,qaanaaq,77.48,-69.36,40.17,70,0,0.94,GL,1595904197
8,cabo san lucas,22.89,-109.91,86.0,69,40,11.41,MX,1595904278
9,aklavik,68.22,-135.01,66.2,52,75,16.11,CA,1595904370
10,hobyo,5.35,48.53,79.03,75,33,19.89,SO,1595904682
11,kruisfontein,-34.0,24.73,49.73,59,0,7.02,ZA,1595904357
12,atuona,-9.8,-139.03,79.74,71,0,25.7,PF,1595904204
13,zunyi,27.69,106.91,80.02,68,0,3.24,CN,1595904683
14,hermanus,-34.42,19.23,42.01,94,0,1.99,ZA,1595904200
15,ushuaia,-54.8,-68.3,33.8,86,20,26.4,AR,1595904351
16,liverpool,53.41,-2.98,57.2,82,32,19.46,GB,1595904442
17,matane,48.83,-67.52,68.0,35,65,3.02,CA,1595904683
18,margate,51.38,1.39,62.01,71,32,3.0,GB,1595904196
19,nishihara,26.18,127.76,89.6,74,75,9.17,JP,1595904683
20,albany,42.6,-73.97,82.0,78,60,5.17,US,1595904203
21,chokurdakh,70.63,147.92,50.05,56,100,4.63,RU,1595904356
22,kapaa,22.08,-159.32,82.4,69,40,21.92,US,1595904354
23,bredasdorp,-34.53,20.04,39.2,93,0,1.12,ZA,1595904197
24,yellowknife,62.46,-114.35,66.99,88,75,8.05,CA,1595904369
25,bethel,41.37,-73.41,84.2,58,1,6.93,US,1595904353
26,isla vista,34.41,-119.86,66.0,77,1,9.17,US,1595904498
27,pevek,69.7,170.31,35.31,86,0,11.45,RU,1595904203
28,harper,4.38,-7.72,74.55,83,100,10.04,LR,1595904456
29,byron bay,-28.65,153.62,68.0,42,4,12.75,AU,1595904439
30,jamestown,42.1,-79.24,73.0,94,90,8.05,US,1595904197
31,bluff,-46.6,168.33,48.0,83,100,4.41,NZ,1595904359
32,khash,28.22,61.22,79.77,36,60,5.46,IR,1595904683
33,leningradskiy,69.38,178.42,38.44,75,20,10.27,RU,1595904219
34,weihai,37.5,122.11,75.97,75,0,7.56,CN,1595904684
35,meulaboh,4.14,96.13,75.24,94,100,3.09,ID,1595904684
36,nara,34.69,135.8,95.0,62,75,12.75,JP,1595904460
37,temiscaming,46.72,-79.1,71.01,82,75,8.05,CA,1595904684
38,port elizabeth,-33.92,25.57,44.6,87,0,4.7,ZA,1595904348
39,noumea,-22.28,166.46,79.0,61,90,5.82,NC,1595904655
40,tiksi,71.69,128.87,40.14,85,100,17.07,RU,1595904211
41,torbay,47.67,-52.73,59.0,100,90,8.05,CA,1595904216
42,jurado,7.11,-77.76,77.02,89,99,3.2,CO,1595904684
43,chuy,-33.7,-53.46,46.6,78,100,8.9,UY,1595904367
44,zyryanka,65.75,150.85,71.65,51,49,16.4,RU,1595904684
45,ronne,55.1,14.71,62.6,100,99,9.17,DK,1595904684
46,tessaoua,13.76,7.99,81.57,60,62,8.81,NE,1595904684
47,airai,-8.93,125.41,70.38,53,95,4.65,TL,1595904385
48,srednekolymsk,67.45,153.68,49.69,86,99,12.88,RU,1595904393
49,haines junction,60.75,-137.51,56.86,56,100,4.61,CA,1595904348
50,dikson,73.51,80.55,41.27,79,49,14.29,RU,1595904357
51,kavieng,-2.57,150.8,83.61,76,56,10.54,PG,1595904352
52,maldonado,-34.67,-54.92,48.0,64,100,7.0,UY,1595904684
53,sao filipe,14.9,-24.5,75.83,77,97,7.14,CV,1595904398
54,qingdao,36.1,120.37,84.0,65,75,2.24,CN,1595904603
55,lorengau,-2.02,147.27,84.24,71,71,1.86,PG,1595904402
56,beaver falls,40.75,-80.32,73.99,94,40,8.05,US,1595904685
57,saint-philippe,-21.36,55.77,68.0,82,90,4.7,RE,1595904370
58,chifeng,42.27,118.96,80.87,50,62,11.25,CN,1595904378
59,lebu,-37.62,-73.65,44.06,77,0,11.5,CL,1595904351
60,hobart,-42.88,147.33,54.0,71,20,8.05,AU,1595904278
61,padang,-0.95,100.35,77.0,94,40,2.24,ID,1595904396
62,komsomolskiy,40.43,71.72,80.6,39,85,6.93,UZ,1595904685
63,scarborough,54.28,-0.4,53.01,88,0,4.0,GB,1595904685
64,vao,-22.67,167.48,71.6,80,84,19.86,NC,1595904388
65,cartagena,10.4,-75.51,81.16,84,29,11.7,CO,1595904671
66,nome,64.5,-165.41,51.8,87,90,13.87,US,1595904388
67,iquique,-20.22,-70.14,59.0,67,90,4.7,CL,1595904415
68,cape town,-33.93,18.42,57.99,93,1,10.29,ZA,1595904293
69,progreso,21.28,-89.67,86.0,62,20,11.41,MX,1595904403
70,bambous virieux,-20.34,57.76,66.99,93,75,4.7,MU,1595904350
71,yerbogachen,61.28,108.01,53.4,91,100,10.22,RU,1595904686
72,avarua,-21.21,-159.78,73.4,73,23,9.17,CK,1595904108
73,xiongyue,40.18,122.12,81.09,66,27,7.49,CN,1595904686
74,auki,-8.77,160.7,83.75,77,37,0.51,SB,1595904686
75,wajima,37.4,136.9,75.2,94,75,16.11,JP,1595904686
76,saint anthony,45.02,-93.22,78.8,50,1,8.05,US,1595904274
77,kaoma,-14.78,24.8,48.25,68,0,6.51,ZM,1595904686
78,nikolskoye,59.7,30.79,57.2,87,58,4.47,RU,1595904408
79,westport,41.14,-73.36,87.01,74,1,5.82,US,1595904686
80,magadan,59.57,150.8,62.73,77,96,6.11,RU,1595904686
81,codrington,-38.27,141.97,55.9,67,46,2.71,AU,1595904430
82,ribeira grande,38.52,-28.7,73.27,88,6,5.35,PT,1595904402
83,chernyshevskiy,63.01,112.47,58.19,55,100,9.4,RU,1595904686
84,khatanga,71.97,102.5,55.71,52,0,5.37,RU,1595904360
85,carnarvon,-24.87,113.63,71.6,56,0,14.99,AU,1595904353
86,koslan,63.46,48.9,66.25,68,18,4.41,RU,1595904686
87,castro,-24.79,-50.01,57.42,78,69,3.71,BR,1595904384
88,milkovo,54.72,158.62,76.51,52,18,2.06,RU,1595904686
